Imaginedle,,,,
Name,Sexe,Participe dans les UE,Date de 1ere publication,Equipe
,,,,
William Puech,H,Conférences; Image sécurité et DL; Projet image; Traitement du signal; Codage et compression multimédia; Conférences Imagine,1995,ICAR
Nicolas Lutz,H,Jeux sérieux; Applications interactives; IG Avancé; Moteur de jeux; Analyse et traitement des images,2019,ICAR
Madalina Croitoru,F,POA/SMA; Algorithmes d'exploration et de mouvement; SMA avancé,2004,IDH
Noura Faraj,F,Projet Jeux/3D; IG Avancé; Applications interactives; Modélisation et géométrie discrète; Moteur de jeux; Programmation 3D,2011,ICAR
Pascal Giorgi,H,Programmation efficace d'algorithmes,2001,ECO
Abdelhak-Djamel Seriai,H,Programmation mobile,1997,MaREL
Norman Hutte,H,Image sécurité et DL; Projet image,N/A,ICAR
Olivier Strauss,H,Traitement du signal; Analyse et traitement des images; VR; Projet Jeux/3D,1989,ICAR
Nancy Rodriguez,F,VR; Projet Jeux/3D,2009,ADVANSE
Annie Chateau,F,Algèbre,2003,MAB
Konstantin Todorov,H,Proba stats; Machine learning,2006,ADVANSE
Mathieu Lafourcade,H,TER,1988,TAL
Mathieu Ladeuil,H,jsp,N/A,ICAR
Frederic Boudon,H,IG Avancé; Modélisation et géométrie discrète,2000,CIRAD
Roseline Beniere,F,Modélisation et géométrie discrète,2010,C4W
Marc Hartley,H,Programmation 3D; Moteur de jeux,2026,ICAR
Mountaz Hascoet,F,Modélisation et géométrie discrète,1993,?
Gerard Subsol,H,Analyse et traitement des images,1993,ICAR
Nicolas Luciani,H,Applications interactives,N/A,ICAR
